,Modelo,ON_mean,ON_error,ON_/K
0,ACCESS-CM2,-0.00435489,0.0597739,-0.000865894
1,ACCESS-ESM1-5,0.239734,0.0207182,0.0561854
2,BCC-CSM2-MR,0.271981,0.0819564,0.069173
3,CAMS-CSM1-0,0.589615,0.0722535,0.215643
4,CanESM5,-0.0619434,0.00519825,-0.0095801
5,CESM2_,0.0926706,0.0315834,0.0191586
6,CESM2-WACCM,0.267483,0.0383827,0.0556127
7,CMCC-CM2-SR5,0.118916,0.170559,0.025977
8,CNRM-CM6-1,0.203196,0.0426234,0.0398548
9,CNRM-ESM2-1,0.0156351,0.0306324,0.00334147
10,EC-Earth3,0.159037,0.0304097,0.0300104
11,FGOALS-g3,0.45063,0.0236674,0.135468
12,HadGEM3-GC31-LL,0.0131708,0.0319036,0.00225535
13,HadGEM3-GC31-MM,-0.169961,0.0293183,-0.0396021
14,IITM-ESM,-0.289509,0.126696,-0.0886717
15,INM-CM4-8,0.0586574,0.0486736,0.017201
16,INM-CM5-0,0.246503,0.0460278,0.0753517
17,IPSL-CM6A-LR,0.195021,0.0376104,0.0363726
18,KACE-1-0-G,0.0734107,0.0468992,0.0146436
19,MIROC6,-0.0958536,0.014906,-0.0273893
20,MIROC-ES2L,-0.334399,0.124022,-0.0899468
21,MPI-ESM1-2-HR,0.340305,0.0163423,0.0971515
22,MPI-ESM1-2-LR,0.0485005,0.0112893,0.0136563
23,MRI-ESM2-0,0.0977986,0.0793542,0.0245036
24,NESM3,-0.146487,0.0351803,-0.0346239
25,NorESM2-LM,-0.427954,0.170795,-0.1236
26,NorESM2-MM,-0.538653,0.156073,-0.153025
27,TaiESM1,0.425055,0.162601,0.080326
28,UKESM1-0-LL,-0.0870165,0.0290574,-0.013991
