,Modelo,ON_mean,ON_error
0,ACCESS-CM2,162.846,21.1679
1,ACCESS-ESM1-5,88.7268,21.9386
2,BCC-CSM2-MR,176.681,16.8372
3,CAMS-CSM1-0,-30.8578,7.63232
4,CanESM5,144.813,9.10301
5,CESM2_,157.114,9.4766
6,CESM2-WACCM,130.263,8.55362
7,CMCC-CM2-SR5,204.972,16.589
8,CNRM-CM6-1,131.609,6.64782
9,CNRM-ESM2-1,98.6972,9.97277
10,EC-Earth3,332.241,4.56253
11,FGOALS-g3,57.6707,19.5999
12,HadGEM3-GC31-LL,184.947,14.3161
13,HadGEM3-GC31-MM,143.666,16.1219
14,IITM-ESM,19.8631,12.9024
15,INM-CM4-8,30.4764,47.4106
16,INM-CM5-0,72.8127,21.5287
17,IPSL-CM6A-LR,158.065,16.2442
18,KACE-1-0-G,165.69,14.6939
19,MIROC6,100.682,4.5117
20,MIROC-ES2L,107.17,10.8228
21,MPI-ESM1-2-HR,108.787,3.198
22,MPI-ESM1-2-LR,132.012,4.91065
23,MRI-ESM2-0,93.8026,7.87112
24,NESM3,124.923,15.8737
25,NorESM2-LM,132.704,15.2204
26,NorESM2-MM,164.337,14.051
27,TaiESM1,205.216,19.6239
28,UKESM1-0-LL,209.563,12.2748
