,Modelo,DJF
0,ACCESS-CM2,0.244518
1,ACCESS-ESM1-5,0.568112
2,BCC-CSM2-MR,0.505522
3,CAMS-CSM1-0,0.29536
4,CanESM5,0.191378
5,CESM2_,1.41918
6,CESM2-WACCM,1.60468
7,CMCC-CM2-SR5,0.0563605
8,CNRM-CM6-1,0.0691093
9,CNRM-ESM2-1,0.079934
10,EC-Earth3,0.859887
11,FGOALS-g3,0.734395
12,HadGEM3-GC31-LL,0.376271
13,HadGEM3-GC31-MM,0.614353
14,IITM-ESM,0.344957
15,INM-CM4-8,0.287922
16,INM-CM5-0,0.446912
17,KACE-1-0-G,0.174277
18,MIROC6,0.777133
19,MIROC-ES2L,0.764573
20,MPI-ESM1-2-HR,0.47513
21,MPI-ESM1-2-LR,0.755479
22,MRI-ESM2-0,0.431291
23,NESM3,-0.0153296
24,NorESM2-LM,0.401736
25,NorESM2-MM,1.31971
26,TaiESM1,0.492395
27,UKESM1-0-LL,0.172037
