,Modelo,JJA
0,ACCESS-CM2,0.226832
1,ACCESS-ESM1-5,0.416308
2,BCC-CSM2-MR,0.206905
3,CAMS-CSM1-0,0.166655
4,CanESM5,0.248348
5,CESM2_,0.476554
6,CESM2-WACCM,0.476473
7,CMCC-CM2-SR5,0.289609
8,CNRM-CM6-1,0.0832133
9,CNRM-ESM2-1,0.122901
10,EC-Earth3,0.321338
11,FGOALS-g3,0.235179
12,HadGEM3-GC31-LL,0.187813
13,HadGEM3-GC31-MM,0.266881
14,IITM-ESM,0.289061
15,INM-CM4-8,0.11601
16,INM-CM5-0,0.162257
17,KACE-1-0-G,0.183056
18,MIROC6,0.317524
19,MIROC-ES2L,0.254539
20,MPI-ESM1-2-HR,0.26674
21,MPI-ESM1-2-LR,0.186246
22,MRI-ESM2-0,0.159688
23,NESM3,0.183521
24,NorESM2-LM,0.48016
25,NorESM2-MM,0.355291
26,TaiESM1,0.242988
27,UKESM1-0-LL,0.169514
