,Modelo,JJA_mean,JJA_error
0,ACCESS-CM2,4.85455,0.0760799
1,ACCESS-ESM1-5,4.1368,0.0308373
2,BCC-CSM2-MR,3.67036,0.0393214
3,CAMS-CSM1-0,2.46651,0.0342271
4,CanESM5,6.06656,0.0164571
5,CESM2_,5.04146,0.0561838
6,CESM2-WACCM,4.91995,0.0336705
7,CMCC-CM2-SR5,4.7161,0.0704159
8,CNRM-CM6-1,4.84984,0.0349709
9,CNRM-ESM2-1,4.40774,0.0347349
10,EC-Earth3,4.8227,0.0433167
11,FGOALS-g3,2.92656,0.0194562
12,HadGEM3-GC31-LL,5.57413,0.0452862
13,HadGEM3-GC31-MM,4.35126,0.101188
14,IITM-ESM,2.84685,0.0545663
15,INM-CM4-8,3.1021,0.039328
16,INM-CM5-0,3.02951,0.0355314
17,KACE-1-0-G,4.94103,0.0477485
18,MIROC6,3.04786,0.0286775
19,MIROC-ES2L,3.34208,0.0507826
20,MPI-ESM1-2-HR,3.28072,0.0158341
21,MPI-ESM1-2-LR,3.29942,0.0155839
22,MRI-ESM2-0,3.85424,0.0560757
23,NESM3,4.19589,0.0424629
24,NorESM2-LM,3.43141,0.0569269
25,NorESM2-MM,3.37996,0.0619696
26,TaiESM1,5.12027,0.0716406
27,UKESM1-0-LL,5.96802,0.0615023
