,Modelo,MA
0,ACCESS-CM2,8.65459
1,ACCESS-ESM1-5,5.95237
2,BCC-CSM2-MR,5.78513
3,CAMS-CSM1-0,5.30931
4,CanESM5,10.0298
5,CESM2_,5.5782
6,CESM2-WACCM,5.34378
7,CMCC-CM2-SR5,5.26946
8,CNRM-CM6-1,7.63208
9,CNRM-ESM2-1,6.43911
10,EC-Earth3,6.63465
11,FGOALS-g3,4.81518
12,HadGEM3-GC31-LL,9.66906
13,HadGEM3-GC31-MM,9.72288
14,IITM-ESM,4.26463
15,INM-CM4-8,4.49059
16,INM-CM5-0,4.36315
17,KACE-1-0-G,9.32512
18,MIROC6,5.13619
19,MIROC-ES2L,6.39036
20,MPI-ESM1-2-HR,5.78361
21,MPI-ESM1-2-LR,6.42587
22,MRI-ESM2-0,5.44914
23,NESM3,7.05874
24,NorESM2-LM,3.41845
25,NorESM2-MM,4.45993
26,TaiESM1,4.96626
27,UKESM1-0-LL,10.5767
