,Modelo,GW,EESC,GW_error,EESC_error
0,ACCESS-CM2,4.4398678356627705,0.0066957819839816735,1.3814157088979973,0.00251047092098532
1,ACCESS-ESM1-5,4.198704495163546,0.004745181695657387,0.7759613705654047,0.0012204431383785047
2,BCC-CSM2-MR,4.648868276574457,0.00551893149326578,1.428209990736427,0.002054051356002633
3,CAMS-CSM1-0,3.4509160807617825,0.0010004512918919083,2.6543042764206763,0.0025963765487916875
4,CanESM5,5.780857698580937,0.004563492743300932,0.28522422658986457,0.0006621504341629211
5,CESM2_,2.9346983037136467,0.005624456935798883,0.43660154630312764,0.0007891294242957092
6,CESM2-WACCM,1.678783650018847,0.006234311960240986,0.7287679518871122,0.0013104559910726392
7,CMCC-CM2-SR5,4.627224183611956,0.0053643099165492725,1.7392055166358116,0.002900139823492933
8,CNRM-CM6-1,2.0463756026243316,0.003671074509286262,0.6152152664070822,0.0010698397292250523
9,CNRM-ESM2-1,0.9446196442188999,0.006714961231621116,0.6921587437522407,0.0011065420710355805
10,EC-Earth3,1.9719381785873362,0.00048411811945165995,1.8128499404132707,0.0032221766437820366
11,FGOALS-g3,1.6464686087045743,0.0038570579768716683,1.3811082417824503,0.0016117050322163912
12,HadGEM3-GC31-LL,4.199293678972122,0.004625856418642992,1.513953237427037,0.0030934685139490103
13,HadGEM3-GC31-MM,4.73912498922972,0.003733983888352891,0.7154936280160165,0.0011900165639592603
14,IITM-ESM,6.967698387356315,0.005330883524652619,2.6416244448523205,0.002931858041519351
15,INM-CM4-8,5.048219591357014,0.008935030520673893,1.912410169917683,0.002250663791475778
16,INM-CM5-0,1.3329422110291844,0.0028850776011011643,1.0829316142807728,0.0012772204229664508
17,KACE-1-0-G,5.947426484365471,0.004152738394889221,0.762948647267196,0.001408507894264277
18,MIROC6,2.430926507919793,0.0032931502481957347,0.8935889342424774,0.0010938624580639732
19,MIROC-ES2L,2.2842815413006727,0.005013739898611402,1.5352495538148965,0.002048461976045338
20,MPI-ESM1-2-HR,2.8833238660336002,0.0048815154481489445,1.7208243988402971,0.0021262623142951874
21,MPI-ESM1-2-LR,3.518275830812232,0.004284249112377648,0.7435640660890828,0.0009193620418140383
22,MRI-ESM2-0,1.7075887090020911,0.003098953493658068,1.6115923446949232,0.0023948482775874996
23,NESM3,3.276215774775015,0.006033187032808255,1.0783340145386457,0.0017364668202315813
24,NorESM2-LM,4.210939141371207,0.005979522478587748,1.572486086123647,0.001953569514661673
25,NorESM2-MM,4.346278627595469,0.005176393008038303,1.6431231564146214,0.002125894578907451
26,TaiESM1,3.6665130842532356,0.009037416067874778,1.244156219886234,0.002352252598919493
27,UKESM1-0-LL,3.454685311415757,0.009813536727402603,1.5058156148358206,0.0033053686416724785
